,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
935,8702-5-5,8702,5,8702-5,5,N
936,8702-6-5,8702,6,8702-6,5,N
937,8703-1-1,8703,1,8703-1,1,N
938,8703-1-2,8703,1,8703-1,2,N
939,8703-2-2,8703,2,8703-2,2,N
940,8703-3-2,8703,3,8703-3,2,N
941,8703-4-2,8703,4,8703-4,2,N
942,8703-5-2,8703,5,8703-5,2,N
943,8703-1-3,8703,1,8703-1,3,N
944,8703-2-3,8703,2,8703-2,3,N
945,8703-3-3,8703,3,8703-3,3,N
946,8703-4-3,8703,4,8703-4,3,N
947,8703-5-3,8703,5,8703-5,3,N
948,8703-1-4,8703,1,8703-1,4,N
949,8703-2-4,8703,2,8703-2,4,N
950,8703-3-4,8703,3,8703-3,4,N
951,8703-4-4,8703,4,8703-4,4,N
952,8703-5-4,8703,5,8703-5,4,N
953,8703-6-4,8703,6,8703-6,4,N
954,8703-1-5,8703,1,8703-1,5,N
955,8703-2-5,8703,2,8703-2,5,N
956,8703-3-5,8703,3,8703-3,5,N
957,8703-4-5,8703,4,8703-4,5,N
958,8703-5-5,8703,5,8703-5,5,N
959,8703-6-5,8703,6,8703-6,5,N
960,8704-1-1,8704,1,8704-1,1,N
961,8704-1-2,8704,1,8704-1,2,N
962,8704-2-2,8704,2,8704-2,2,N
963,8704-3-2,8704,3,8704-3,2,N
964,8704-4-2,8704,4,8704-4,2,N
965,8704-5-2,8704,5,8704-5,2,N
966,8704-1-3,8704,1,8704-1,3,N
967,8704-2-3,8704,2,8704-2,3,N
968,8704-3-3,8704,3,8704-3,3,N
969,8704-4-3,8704,4,8704-4,3,N
970,8704-5-3,8704,5,8704-5,3,N
971,8704-1-4,8704,1,8704-1,4,N
972,8704-2-4,8704,2,8704-2,4,N
973,8704-3-4,8704,3,8704-3,4,N
974,8704-4-4,8704,4,8704-4,4,N
975,8704-5-4,8704,5,8704-5,4,N
976,8704-6-4,8704,6,8704-6,4,N
977,8704-1-5,8704,1,8704-1,5,N
978,8704-2-5,8704,2,8704-2,5,N
979,8704-3-5,8704,3,8704-3,5,N
980,8704-4-5,8704,4,8704-4,5,N
